time,f_left_fx,f_left_fy,f_left_fz,f_right_fx,f_right_fy,f_right_fz,lambda_left_fx,lambda_left_fy,lambda_left_fz,lambda_right_fx,lambda_right_fy,lambda_right_fz
4.76837158203125e-07,0.0,0.0,0.0,-0.5420825988491447,-0.27254021716945503,4.425021758721147,-0.0,-0.0,0.0,0.0,0.0,6.905
0.03267979621887207,0.0,0.0,0.0,-0.5420825988491453,-0.27254021716945537,4.425021758721147,-0.0,-0.0,0.0,0.0,0.0,6.905
0.07716679573059082,-0.10236831557124217,0.3250336474845138,0.01555556896042706,7.103371842201423,-25.590805705916882,22.311461305526038,-0.0,-0.0,0.0,0.0,0.0,6.905
0.11596822738647461,0.014960887057073716,-0.00932648656119692,-0.0001271145798764298,-0.27292432438166114,-8.08676637126604,5.014379609055972,0.014960887057073716,-0.00932648656119692,-0.0001271145798764298,0.0,0.0,0.0
0.16097402572631836,-0.042281169083478225,1.1659657592688246,0.14046382048060832,-18.429831022130173,11.700864730849748,20.263320523822475,-0.0,-0.0,0.0,0.0,0.0,6.905
0.2370471954345703,0.23589478882042203,-1.9539814560495379,-0.1985906819981764,-0.6897592077583112,20.72379903807465,13.077422542113828,0.23589478882042203,-1.9539814560495379,-0.1985906819981764,0.0,0.0,0.0
0.28182101249694824,0.06040179111408189,-0.059877577991482855,0.01153648075368207,10.630843024738885,0.7658425220002799,7.611268694111066,-0.0,0.0,0.0,0.0,-0.0,6.905
0.3252451419830322,-0.17342026266258503,0.48416714377453207,0.017859119155861664,-1.7506397265142595,7.567640615182343,6.664672891563009,-0.0,-0.0,0.0,0.0,0.0,6.905
0.36414051055908203,-0.24209388761288891,1.290581141666522,0.11383279371895517,-0.7461044564068113,-28.64086856256281,18.368512979109518,-0.24209388761288891,1.290581141666522,0.11383279371895517,0.0,0.0,0.0
0.4070749282836914,11.455221746658694,-13.237108330982794,51.12909326747054,-0.29019524856585843,-4.586379785265112,3.011842136731601,0.0,0.0,6.905,0.0,0.0,0.0
0.441180944442749,-18.749436771165165,-38.96750292346304,46.73812376807766,-18.563628323909334,22.58487377362065,26.76873734521137,-0.0,0.0,2.941563014232048,0.0,-0.0,3.963436985767953
0.480755090713501,36.69683114154577,58.02473192253476,63.49135536834328,46.27566028469233,-66.69643671730891,78.80582453310736,-0.0,-0.0,3.8334313132637488,0.0,0.0,3.0715686867362515
0.5151932239532471,-28.630688365694716,56.7960236158637,68.76741815690765,4.6441365594432735,-40.33340906140395,32.09279721747274,0.0,-0.0,0.46827261790988595,-0.0,0.0,6.4367273820901145
0.5547897815704346,-24.330056203516172,17.010436849093534,27.784367527291757,10.358761817401554,-0.3708940045940465,10.31537792163813,0.0,-0.0,4.192053453704605,-0.0,0.0,2.712946546295395
0.5967047214508057,-52.49902217503011,-119.75742848495815,115.03742875140192,-57.958424813431115,125.51743763056992,118.39846391540979,-0.0,0.0,3.1901180193263863,0.0,-0.0,3.7148819806736144
0.6341252326965332,-11.30805345658601,-86.9479822684844,70.98797852878677,-23.98621627760166,76.60532549559842,73.57867913804067,0.0,0.0,5.422632757526115,-0.0,-0.0,1.4823672424738856
0.6749086380004883,2.9514035108264376,11.04349005103493,2.1337173562232308,105.69208622989315,-235.8515123846019,229.15102258128658,-0.0,-0.0,0.0,0.0,0.0,6.905
0.7064507007598877,-81.30897883177865,-203.3686070027538,200.20589732564866,25.080441350973096,-109.48134938929414,92.86937852279132,0.0,-0.0,1.9656274941175929,-0.0,0.0,4.939372505882408
0.7366218566894531,-43.20284934822285,-505.1242009596294,416.08517492911363,-287.64056913161266,162.77006773704923,290.3596483459524,-0.0,0.0,4.796998165341592,0.0,-0.0,2.1080018346584084
0.77339768409729,212.06875810195388,184.30857802362317,263.3666347088824,227.55792679750292,-371.2161772240357,415.1021968705176,-0.0,-0.0,3.5996019720190353,0.0,0.0,3.3053980279809654
0.8096010684967041,-252.07491313999031,821.6217994905631,738.8016064071752,6.149207158803965,-19.4222742567573,3.830185292217259,0.0,0.0,6.905,0.0,0.0,0.0
